34196 71447
17406 17911 107
212 13948 24773
3259 5016 70
1926 11976 1061
5335 7629 157
400 5707 2365
16145 18980 51
19571 31943 56
4596 29647 61
512 10647 14720
13857 26651 92
6546 21151 5593
10682 13801 837
10002 27236 122
14861 18957 25
938 20419 710
2306 5464 1714
4669 11178 262
512 24141 15083
912 24327 2258
6561 11610 149
20327 23800 1711
265 3443 695
901 25051 898
552 20678 4154
2031 6763 65
1056 9980 736
2364 24309 5371
9902 20794 1784
212 1969 21071
4823 13106 123
5304 32439 249
212 360 19888
7417 10355 422
1468 4076 7702
1468 1719 7232
609 18451 464
511 1629 1547
663 859 9428
1468 11330 10263
7042 14292 514
2365 2530 228
12204 14450 929
14812 29434 96
2364 24600 5098
8220 13672 226
917 24762 38810
917 5504 30350
212 1068 21076
917 2980 35091
207 1830 2806
10690 21306 2606
119 577 13991
780 2835 3483
481 18216 3719
604 2913 3224
912 25705 2502
7804 20567 48
1471 10299 2137
8276 29567 105
3482 17592 717
1111 13998 246
1367 30075 5021
728 13489 1208
3438 11716 5384
2174 17422 7481
21498 25592 148
3126 6110 101
604 29607 3623
12910 12914 438
926 6627 871
620 19780 36080
8258 14479 118
6760 10690 3377
795 30713 2184
5476 20468 516
3959 7373 1004
2364 6741 7412
917 13342 28430
19136 19484 1191
3748 15974 192
68 6110 43937
848 917 31590
1807 27840 1407
2259 17403 203
423 17914 155
917 17233 35590
33 11285 2250
512 1963 15737
8862 10208 81
23904 25137 59
207 17391 2271
4510 9111 384
604 1449 17388
6655 10850 2228
10690 11880 3276
577 20742 14470
9920 17602 66
577 3369 13648
2542 6741 2512
78 8739 6350
1707 11442 115
2174 3611 9213
1867 13697 795
2736 31307 997
358 3832 2251
843 23834 448
604 13790 4315
818 917 28989
481 14279 2936
1352 1371 758
10020 21021 40
103 11507 65
212 1121 18591
19252 30238 226
2927 19803 827
22734 32757 319
2736 4032 1519
68 4469 32718
19618 30159 591
305 13898 234
2820 9357 766
9301 22702 428
917 16587 32485
1867 15461 799
2736 30283 1152
2123 29714 1366
3606 18910 201
1609 1808 3871
1775 33435 355
400 1669 2670
8768 8953 632
917 5723 37904
1003 33992 186
1471 33436 2145
2069 26220 508
2178 29756 637
893 901 736
20444 21472 596
495 28849 416
5529 24811 75
10900 28020 39
13776 22870 1841
12330 29599 68
481 1271 9059
10120 13001 163
2141 18384 55
1820 28935 55
2364 23770 4487
9728 13197 784
1731 1741 6034
433 917 32796
6044 8733 123
19532 19603 366
15745 27820 124
620 19941 32819
14979 15497 217
6546 10756 5319
22821 27512 1723
1867 22012 811
1605 23662 955
3436 18899 149
22678 30879 54
1273 4522 10601
8944 9716 521
604 4810 4238
917 18794 39662
16921 27679 115
1676 1744 951
620 1352 32397
4822 20637 58
2058 13103 1153
18368 28035 2173
3391 6691 365
13192 13197 913
1449 12229 15212
512 27317 13632
212 9191 25873
21561 24663 79
48 638 499
620 33958 29605
16317 24835 294
4778 6655 1836
8558 16928 197
400 656 6404
9999 12423 307
496 2178 1721
620 11267 27349
663 30204 10844
6391 14080 49
6 620 34431
13521 24964 234
21498 25398 113
1468 4057 10084
899 1609 1852
1605 5620 1344
620 2887 31003
3438 29564 5078
656 7736 3914
7976 23702 143
10735 12412 539
620 15045 28110
28435 29009 33
2174 3810 9849
1468 2843 9408
6027 9301 557
13103 31412 1154
917 1956 28030
68 9187 36203
9824 20302 377
919 13392 3166
9715 30104 458
2190 22774 780
620 33417 34394
512 12489 11753
6546 6631 5905
577 18810 15645
136 12780 4475
127 1288 470
18468 23468 128
10197 13776 1956
1271 19891 5226
24 620 31120
68 2228 35193
3438 11989 7463
68 463 41701
68 15946 42089
596 17046 343
1273 3243 8605
24803 25646 58
1339 3739 106
5678 7083 750
78 19736 7038
728 5453 1455
4651 12861 437
3438 3740 5619
8705 19427 758
14069 18503 110
665 871 3123
512 951 17664
663 9482 9270
10842 22174 1406
719 2519 498
1322 13317 133
195 20395 587
1468 19942 9402
212 13853 20194
366 1003 794
3391 28024 248
656 6133 3303
917 3781 39424
5110 32864 2754
750 14290 139
2315 23793 144
6676 20679 1570
68 5161 45007
5885 12586 44
121 656 5397
6769 9999 420
81 13898 118
728 23201 1681
620 22752 34080
1609 2571 1368
5534 13326 369
917 11285 40267
1605 5675 1078
19461 29918 117
4550 12510 728
919 5787 3177
3430 6624 240
917 5417 34200
928 1655 523
938 5601 692
4677 9740 795
6655 17370 2703
207 1771 4014
4693 17230 122
5073 6741 2598
512 2364 16163
1880 14740 2857
260 313 286
2452 16476 116
21555 23378 264
4249 5899 34
2927 7483 1431
2736 30093 1284
95 8553 1412
1449 7918 14818
2347 21579 560
4441 16780 1958
954 1676 1016
1449 6967 19779
16106 17211 117
7826 8465 234
14930 22951 46
935 2399 669
5977 22590 1447
28596 28854 29
21617 23754 116
7839 7880 164
2123 3798 2272
22607 32705 80
728 20403 1367
12204 27876 883
551 780 3888
926 6936 809
620 1180 28850
6608 32930 179
579 2259 225
15405 17809 260
19540 30188 179
512 30250 12115
1273 16798 10303
3481 6923 110
13326 24154 422
596 26474 236
8388 8533 401
9526 19324 618
10120 32972 173
1656 2325 338
1731 10373 6852
690 691 160
2494 13225 213
68 21280 33380
2720 3079 196
3970 20198 138
121 451 2481
212 1619 23515
68 26643 39290
5040 7469 2188
5159 19452 549
19320 31922 70
460 6461 453
10745 27170 702
1285 3921 399
620 2723 34694
2159 6778 821
512 6978 12466
6655 17035 2159
7368 7468 54
452 2357 303
30014 30479 1399
2174 26248 9704
16851 17132 47
68 17828 45898
495 9788 330
17376 22958 33
68 28103 46852
39 16802 184
2174 17008 7824
8413 28548 280
78 9000 7344
712 11566 688
14681 18400 883
152 3705 570
9578 32234 143
1206 6407 331
11767 17072 82
1271 24003 5875
512 552 16028
204 15637 1184
10751 27605 2087
780 12469 2884
18883 22867 277
78 1605 8074
6999 30507 415
68 16607 38192
212 2104 21424
917 16526 31638
136 10479 4191
1655 2640 249
212 10826 19196
2604 5462 83
68 23000 31870
2364 24692 5160
9474 32748 574
212 19948 19243
3513 9954 918
1487 3937 163
917 3099 28888
577 2839 12645
1468 19723 8370
577 14980 13364
18368 29423 2535
577 12494 16650
6766 13612 355
728 16273 1184
68 20939 41549
21755 23778 252
400 831 1749
68 28499 34377
951 21482 2751
207 2364 9592
25735 27174 44
68 9867 32839
6079 10197 195
3006 3505 2077
665 11448 1095
1731 2927 8220
68 4896 35918
577 5493 13127
212 19018 20730
577 2971 11961
663 8495 9432
121 14303 2111
192 21584 1222
337 3084 1305
21143 28759 79
78 19938 5945
13871 27687 65
917 13445 32155
19550 31348 228
4600 16446 1026
26112 26739 36
1468 8609 9846
593 2174 10662
1468 6105 7370
212 15057 20560
8313 12023 322
10125 12309 231
68 9054 44155
19461 31313 140
1239 1746 1922
282 16780 1881
917 4004 35585
1468 3983 7619
13807 18176 73
23539 24390 100
23973 24442 128
8272 14735 82
78 196 7335
17343 21877 139
1330 10152 224
212 4591 21714
5303 6151 189
512 23360 13325
782 1449 17004
1449 19136 20539
9707 19573 149
3591 26414 1759
68 11544 32360
577 12151 13232
5110 30923 2770
8114 20469 250
1032 6968 236
25197 28692 168
29967 31961 186
2174 14872 7861
1367 7483 6149
584 3509 1015
1273 16583 10743
5110 9576 2965
5409 5537 447
2486 8101 373
604 5628 5976
879 20329 784
2795 16780 1936
9500 31326 267
68 7081 34277
401 1665 300
11500 16780 1935
663 30767 9216
3424 3452 296
196 1395 5908
30760 32147 30
212 33767 21239
10842 15715 1349
620 5863 36661
9098 33927 117
8449 20828 76
121 3192 1968
1449 4725 19032
9463 19228 103
192 21618 1539
212 33998 19460
14433 21994 815
1449 2290 14629
663 1236 9386
557 7304 1409
32323 32852 35
8261 33053 111
1367 19605 5418
10938 18525 517
18368 28018 2078
8693 11195 304
212 4291 21903
942 3042 1199
10523 18942 76
10094 22315 1024
1468 21380 8627
4709 6546 4550
15861 17403 205
9927 27605 2440
6577 27398 598
6751 27001 790
620 3869 26696
1582 24501 1383
1887 14386 105
26195 27578 126
3675 3885 2217
68 2935 46319
95 1800 1312
663 29810 10384
577 1226 13525
780 3675 4495
609 22079 337
2496 5678 914
1068 14677 1424
20679 22821 1648
10505 33804 162
18196 18368 1820
207 12855 2868
9951 15260 84
1073 11658 311
8015 13423 212
10094 10138 801
1271 13197 5153
6751 6872 1160
917 17973 28299
654 1786 518
212 22070 25292
620 16753 35967
51 78 6899
512 11313 12629
13197 32909 947
951 24494 3115
620 9220 33072
1395 9743 6135
9743 26137 211
919 13498 3400
620 5915 32356
795 19632 2263
17577 21013 61
1113 1947 1601
2677 8017 228
1468 19923 10160
1449 14346 16443
24657 25869 290
1104 15001 2167
2951 8713 222
212 8952 25947
595 16139 1011
18598 28985 94
15227 21042 849
136 1287 4290
1993 17684 620
2174 22869 9068
8216 10094 1563
1867 3601 815
577 1945 12504
4926 13801 1113
917 18572 39966
21522 25434 1025
2174 27323 7770
604 12349 3362
620 12190 31643
5640 23445 149
6883 15565 745
917 2631 30980
1273 1367 18087
284 10041 164
1808 22924 3352
9623 11053 624
8532 15472 303
19628 30606 158
620 18766 25192
15496 16117 42
1367 4738 5812
663 29887 11796
30306 30508 282
2174 2329 7307
620 7681 27796
14790 15052 158
1251 7377 374
917 2883 31073
1808 6934 3702
2639 7304 452
690 917 37808
2814 12932 1496
1104 26112 2279
577 7402 14009
663 31553 10198
3644 14527 1199
9580 30129 534
12085 13765 101
212 18328 25433
16906 27538 441
604 6630 3923
1818 20970 108
917 15457 32667
620 3061 33944
3438 15565 5574
4932 11621 866
917 5538 31555
1701 14121 234
9558 30464 977
7134 29951 1444
663 23075 9270
919 2474 2797
115 12027 171
12932 33118 1306
2116 11968 622
481 1185 3484
604 2083 3560
3575 10097 287
10030 12073 569
663 1122 8659
78 34170 7541
620 13117 34392
31907 32116 33
68 15726 41622
8953 32177 586
663 30620 11976
917 5931 29828
620 4763 31550
481 1468 10797
942 21668 1248
512 9068 11757
189 207 2484
8331 13799 473
917 33142 35418
78 19874 5715
68 6143 42030
917 8533 36372
4812 12037 298
68 14812 34463
16721 16765 194
206 9908 450
8063 24465 263
1626 25665 162
192 926 1939
2198 17267 164
12548 14185 246
24782 25013 747
656 31498 3285
749 917 29441
212 4166 19316
577 4592 12183
11573 12863 131
663 29970 11096
663 5110 14349
207 787 2066
9429 19565 168
512 1109 11088
2174 11901 8241
68 30287 40407
16303 23586 195
3784 27673 510
68 16596 40528
16425 24426 963
68 33529 39425
620 17880 24969
17289 21071 252
620 12752 27985
2853 5218 143
11994 17715 102
8245 28299 886
656 955 5636
663 19238 10053
512 2545 11544
1488 8868 132
21636 23386 81
1811 12349 82
6023 10184 458
7919 25086 817
10906 22308 78
1867 20667 747
212 3748 17831
68 15774 37054
917 4409 34745
212 1334 25909
4512 13776 3521
19136 30014 2699
1113 20695 1270
78 7006 6533
5391 5601 591
577 11320 16204
19500 32698 65
1688 19422 1066
1674 7961 81
2748 13025 143
663 9320 8474
6546 8180 6321
68 29409 37257
6655 21819 1992
917 22061 39049
917 19822 33561
518 1471 2169
2219 15216 785
917 16956 40598
68 33863 32682
22128 26064 36
23365 25344 96
8056 24204 154
1405 10888 236
30150 31425 201
400 23939 1975
3339 14343 343
3591 27990 1968
848 16780 2513
3098 5349 91
512 19557 15571
6546 26301 5250
68 7508 35214
620 18893 29736
68 5003 43192
917 9879 40802
570 28037 368
212 6682 17817
942 7958 915
9571 22592 1729
576 8438 1366
18084 22262 101
3798 12102 1548
207 1367 7955
3335 3994 466
9571 19328 1317
512 8317 15621
917 16217 35027
1367 6999 5042
1395 26867 4714
843 20527 528
1449 13431 15835
4774 10741 344
8245 22830 1273
5110 19505 2895
16780 33430 1934
68 2865 46757
6408 23008 1075
6546 22548 4541
577 3481 11770
1367 18484 5010
68 27175 36371
432 491 517
879 2628 691
3644 29349 1365
15900 18574 153
286 2038 750
917 4109 36187
7324 9119 54
11269 12482 173
81 262 325
6047 23021 805
481 7016 2725
917 17900 35615
2174 13646 8817
68 9445 43297
10216 33619 57
1139 1273 10112
3832 5738 1166
138 2275 351
68 2132 32714
2148 13718 220
29870 32238 233
212 496 19431
212 16008 25586
4860 8245 1171
795 19511 2354
21580 25766 1429
915 25853 823
3004 9295 254
1558 5811 308
1367 4164 5760
78 9213 7279
68 14528 47073
656 2294 3080
4731 13642 52
570 20981 346
14407 15915 540
1273 14142 10071
14063 28197 199
1468 3256 9902
1367 32877 4559
2016 26217 39
20408 23996 387
1808 28709 3425
1471 19735 1899
3438 12035 5799
795 9549 2256
577 1852 13191
5470 21666 122
1731 11424 5656
1926 18343 956
9902 27183 1549
1449 13213 21037
620 20017 36004
68 22356 38779
212 7690 24238
6621 17991 59
10690 11655 3557
2367 24278 382
951 8078 2906
31024 32581 57
2673 16338 79
2255 4660 360
917 2538 38323
68 13727 37802
6911 9812 141
12441 13776 2099
5825 9706 60
917 13615 35391
10568 13012 2061
23912 24323 64
1468 5312 8443
481 23041 3426
1271 7875 6315
4867 9981 276
207 13776 4510
6267 33428 539
30874 32039 71
20588 21737 185
68 6732 33607
620 13810 28225
871 25344 2797
197 1382 332
12302 26018 34
3417 9740 524
941 2490 671
105 919 3076
1327 10048 294
1273 4172 10141
68 2183 36747
6966 15305 303
3520 10735 557
68 438 40474
121 12510 2041
1367 17618 4495
6676 8485 1536
13309 24398 54
95 9729 1450
1468 33607 8081
212 20940 21585
68 3447 43587
1340 17255 179
132 24823 299
5182 10498 222
1850 7583 94
19321 32554 123
10682 22311 196
6546 10523 4557
917 9588 35277
68 2329 45012
877 2567 436
604 4584 3318
1676 16254 907
68 11024 43419
2496 24330 533
21580 21729 1224
917 10945 29888
3805 19053 761
1933 11729 226
68 14735 36272
6361 8874 731
577 1031 12260
12857 32915 455
78 6068 7071
414 6408 1276
9529 19544 562
576 15768 1377
15413 21927 115
1715 4095 982
620 3898 30589
3643 4586 114
6676 15210 1686
2581 21679 490
917 8825 36787
19338 31248 285
21195 29515 267
1273 3498 9344
129 34053 290
1924 11571 379
78 7376 7491
5628 21616 1267
496 28384 908
10690 22047 2690
843 5542 585
2159 4346 759
3 366 503
1271 11571 4709
24165 25630 39
14550 20862 120
1021 6712 646
1471 7474 2323
4774 8507 357
212 16997 21624
4593 4819 251
663 19158 9602
663 4237 9153
265 22438 476
68 11751 37596
577 12405 11372
2174 26670 9622
6813 8415 403
1468 14193 8202
68 4445 36114
30715 30771 82
6965 12903 86
577 18992 11792
7554 8674 666
2174 17455 7372
212 1287 23226
9512 30327 98
460 6086 408
917 26125 28862
48 1613 1123
3171 14104 210
2195 6880 98
13443 21522 822
309 2835 380
608 14866 1894
868 5548 230
917 2277 32717
68 8635 37673
1771 6751 1875
9581 30399 369
21563 21755 811
3438 16117 5361
68 1280 45484
23418 24234 223
663 7228 10517
1273 19782 12104
3391 9980 553
2045 15274 737
1151 5931 250
21522 25264 786
3438 3647 5659
5527 24608 292
10568 11509 1973
12213 21857 2427
1016 18637 114
136 1448 4341
917 21270 36715
1273 3557 11137
4029 5102 266
18187 26097 567
577 2145 11550
136 7605 3991
620 20177 24683
10690 16992 2418
512 14396 13825
30500 30722 339
9901 11986 563
4382 7141 156
1271 11619 6367
9902 15709 1650
663 3941 10684
17170 22531 245
24988 25179 58
1449 26873 19796
19158 29788 928
1157 19953 334
18017 29304 57
12241 26209 155
16295 24149 270
577 18623 14218
1073 28226 303
894 917 29126
2811 3057 1098
6963 14633 277
21042 22059 915
279 10048 108
912 16437 3219
1701 1773 315
2820 9381 809
212 2205 26083
620 11522 34769
451 917 36648
780 23724 3131
2174 27879 9749
2025 6574 75
917 15640 37836
402 8027 622
16303 23886 205
19530 30201 119
7469 10184 2690
5439 16423 568
30306 32565 170
10227 16780 1884
10842 16896 1369
8392 12213 1050
7914 23746 32
620 2123 38201
196 6272 1551
1273 16950 11126
21745 25802 35
8216 18911 600
917 7377 35541
68 33928 36576
425 1073 537
917 2455 39547
2054 26970 1235
212 33395 19862
3980 20169 548
1883 12317 204
1449 31224 17521
552 1933 4019
919 20466 2928
3231 4166 350
843 7905 395
620 5053 36190
68 11510 32016
871 13415 2427
620 1684 34826
12145 14729 626
4867 18876 305
663 33231 9031
165 4075 1114
6546 21416 4667
917 4090 40176
795 29860 1750
78 2713 5876
3473 27100 574
461 30093 100
577 8591 13219
951 10992 3174
1449 10241 19304
3798 26669 1528
512 9720 13947
620 14140 31905
136 11463 5045
2340 5653 131
620 9154 34007
552 12263 4238
1239 23231 1257
917 14113 32095
24226 25555 129
1731 6381 6759
68 20732 35330
121 4126 1738
21563 21570 921
2980 5272 96
1741 3084 1436
1808 12146 3672
1271 8301 5471
2297 5799 824
917 28236 35223
9678 32189 1142
7589 29958 1204
3409 11764 35
1016 27362 98
12023 18400 830
2306 2475 2021
400 955 3476
14479 18203 133
22821 29653 1471
1731 6518 7736
24961 24976 99
259 1468 9205
917 8377 27374
400 1808 6000
620 27607 28209
5073 12073 1446
663 9522 12138
620 9685 33327
9214 13776 2065
3495 22801 229
68 13707 35928
94 5870 158
620 21163 27582
16394 23489 306
11744 11979 1175
10481 12932 1489
248 1267 141
2174 10564 7522
1807 28764 1980
5678 16291 719
917 6238 34992
2174 4664 8549
917 1395 40424
2166 15565 551
2156 17260 205
2099 18317 49
3438 15048 5088
7320 23097 257
647 24023 695
1468 7554 10304
3591 15656 2144
552 14405 4592
6546 19024 5522
5525 24598 51
3088 10204 91
19367 30213 75
3210 7401 184
165 6350 935
1731 6107 6001
10568 13156 1987
3815 25197 617
7427 17176 199
795 13776 3755
1449 30269 20988
9526 32542 649
663 31875 11994
552 15862 4950
13326 21623 347
22689 30269 671
620 6776 33080
12998 13013 224
623 2329 611
1273 8906 11244
447 663 10140
1656 5606 333
22878 28352 265
911 7469 2530
19136 29802 1014
1395 20925 5144
3438 20783 5249
356 27795 673
18368 26288 2659
95 8578 1536
19293 30695 42
577 10296 11852
1544 4041 249
1104 26524 2391
1468 10510 9476
1518 9015 148
1583 13239 766
656 19565 3439
620 11744 27024
982 6417 164
121 955 3365
129 1271 5425
1468 16790 9686
212 13529 23427
4663 29566 51
7107 24392 405
400 21673 2078
2744 3591 2036
9012 14261 251
1271 18598 6179
6640 10568 1831
7469 33348 2620
597 8303 764
12213 19040 1110
398 1609 1854
5752 25467 66
10094 26225 814
10634 13098 93
1449 9568 15796
3904 4276 384
620 33820 27951
915 24254 548
593 29350 1329
611 26115 195
7134 8364 867
29871 32711 280
10735 26218 497
620 20129 29455
17358 21292 65
620 17369 31494
750 14336 213
512 27390 14652
1271 20327 7651
2364 24311 6245
3980 13776 2320
1229 1449 16171
2174 20885 7790
165 11330 1913
512 18378 13240
6741 21148 2199
136 3897 5317
12060 22020 334
177 1471 1953
5904 9377 469
68 17855 39623
6929 16140 221
6904 13951 46
1239 14355 1606
620 10277 26870
1688 32647 815
912 25708 2609
68 30348 41774
78 4067 8287
15343 17602 185
6741 21526 2488
10685 22099 229
9974 14812 150
663 30555 10737
68 353 34701
12213 27613 1063
22733 31591 76
1972 16335 715
5788 25438 437
8357 27671 343
6158 30637 155
1007 27726 642
9594 30801 38
1468 3108 10128
512 21431 13819
2306 2351 2050
20719 26870 26
68 6113 38958
11409 11447 64
951 21513 2336
68 1268 44306
4728 12983 122
95 13594 1244
5110 32700 2393
663 19779 10132
1285 6111 230
68 7412 41044
663 33753 10231
941 1786 1033
6676 26790 1473
2015 2123 977
138 11285 1709
3983 33472 236
917 4819 31663
1273 5291 10263
917 23513 36178
20751 27767 108
23587 24241 29
2174 21836 7449
7312 31052 290
212 17671 19703
10506 11514 216
68 27879 32377
917 20137 39012
8245 28004 927
68 12441 33846
843 7818 670
19136 32081 1371
3153 10464 121
620 4985 28411
1559 10479 511
1092 6546 6292
7998 16182 80
941 1179 723
12932 13054 1193
7143 11223 52
620 11227 35836
656 3921 4445
512 5907 15701
6655 28629 2176
917 28082 34546
4084 4437 258
300 15026 194
2002 10066 840
552 8498 3694
6676 15799 1883
552 15729 4993
78 11285 7429
68 2020 33820
212 2184 21676
663 31712 8444
212 14249 17971
22592 31283 696
2627 23366 423
1273 4042 10973
78 5417 6733
2042 10780 518
1395 2190 6257
212 25171 25384
3944 16642 57
9828 14433 2385
366 689 487
8400 22469 36
6546 22957 5788
24401 25883 113
2069 8234 458
2174 13697 10082
16951 17354 118
570 15739 387
620 16726 28457
81 21948 110
8397 26385 292
1123 10292 851
1273 22990 11761
3258 7469 2459
938 23349 625
1487 2811 1146
2045 26849 535
917 2056 40267
212 26548 19778
4600 8914 752
68 10898 38235
68 8411 36103
1468 33598 7566
620 19943 33540
8245 22423 1121
5305 7129 96
577 22861 15292
8357 21426 392
1271 9901 7341
1468 19901 7591
917 17054 32915
917 2436 30012
2174 15461 6935
2927 4089 998
917 26668 34810
22821 26444 1771
68 3828 42896
7533 19180 372
571 14935 280
68 1443 38911
30366 32403 66
6577 6892 710
5311 8748 50
6546 18496 5086
481 9087 2532
68 12487 36416
15697 20970 220
10842 14828 1397
20327 21596 1380
2546 24816 487
3740 6546 5405
1273 8705 10107
24774 24835 384
2203 28234 34
917 25646 30446
620 11269 26891
365 8610 1012
917 21423 28657
917 4070 35209
23418 24664 223
131 14796 422
1395 1821 5224
3203 33007 263
212 21966 24926
6506 34078 44
27 78 8137
620 12545 26793
691 783 152
2174 18638 7990
917 2853 28791
526 16526 124
620 9138 32438
941 23319 611
5926 9639 555
3081 6408 1103
10568 33132 1918
1026 1271 6238
212 6927 20950
2262 17359 184
917 6655 33074
24894 25537 33
136 12783 4552
6676 12067 1912
496 3832 2168
951 13469 3239
82 14166 176
16162 33396 59
1972 12630 952
2364 24617 6387
608 22390 2022
68 4664 43477
212 4809 22738
212 18722 25744
716 3050 307
16425 23837 925
2174 15102 8254
912 5737 2557
1352 17869 673
6999 32318 381
18497 27877 55
16808 23422 54
2364 24950 5365
3591 17404 1945
663 9484 10564
17288 17632 200
14057 14813 246
1271 12355 6668
19254 29933 37
94 1786 544
4595 12950 209
901 7863 701
2351 5454 259
3438 14621 6064
529 14433 639
1583 22279 1120
9500 19472 268
512 10568 12779
14434 18525 553
31425 31763 155
917 15985 35498
597 1271 5305
24784 25944 26
16635 34129 165
1449 12290 16839
17086 22801 33
68 2737 41136
577 22084 11584
17058 27170 500
584 29478 760
620 33996 29903
78 8626 5860
2174 15669 9999
16164 21475 155
1609 2572 1906
65 68 44086
13910 14944 187
870 871 2433
552 21867 3528
5031 16685 97
15565 15948 545
577 3644 13743
10682 28265 181
68 12651 45023
1007 7160 621
10755 13636 981
576 17103 1410
663 4148 11110
917 15075 38867
2174 16090 8362
48 1248 712
161 12768 816
17875 20743 123
1113 10054 1443
10652 18757 125
15405 18753 344
1449 6578 14959
1832 4743 85
3533 13808 301
5371 12960 51
2262 4979 187
879 16263 984
12988 13017 344
3281 9147 203
4677 27754 284
1273 6741 12509
29946 32118 65
6751 8266 780
10130 26692 79
432 7483 1249
620 11719 26180
594 4672 188
663 23093 8687
1852 26194 374
30285 31304 61
33 68 47182
780 871 5378
496 26961 990
212 11115 26092
9828 17272 1360
9979 14568 92
6769 27282 284
68 3550 34638
1716 9214 374
14528 27596 243
95 581 1555
917 8409 38141
1198 8584 985
25540 25815 84
620 19830 27641
917 14572 35271
19478 22597 459
143 14810 187
10541 22431 450
12206 13843 59
4612 8403 333
68 546 44434
3647 8414 1112
663 31105 9830
68 33844 45081
795 9720 2759
614 10712 197
917 2320 32960
8887 30083 474
3677 9922 204
25052 25060 61
68 8672 44828
4512 6741 3374
2364 25116 4513
21755 25183 243
20724 26108 477
265 15615 431
45 68 40468
481 11367 3174
1808 14069 3010
481 8973 2978
2174 18321 9217
22148 29756 108
4099 8951 128
5628 20429 1412
6741 7205 2242
6915 28341 134
4055 5346 75
1934 18160 472
620 3984 28173
4925 26904 127
365 33721 988
212 6646 18911
620 1551 30093
1180 16662 167
663 32855 11525
608 2011 3017
5628 25853 1149
16229 23942 57
663 19113 10576
16244 23447 158
10690 17038 2478
620 5279 36778
68 7828 33464
68 5343 45008
620 820 31249
620 16554 24866
1449 29965 15416
68 23846 35915
5884 5894 52
552 3448 4636
20241 34097 90
4380 19550 1534
8998 13210 47
1273 6417 11652
1468 7707 7984
1988 2210 133
498 9864 258
9512 22592 856
2174 14815 8316
1007 28467 525
3203 7299 301
68 23001 41991
22821 28836 1685
2174 11873 8364
2551 7976 332
9283 30274 63
17891 22002 385
656 5515 3022
1367 4932 6052
13012 33139 651
871 2706 2806
68 14345 36454
620 6955 31848
6577 17604 484
620 29103 26273
1273 6546 18571
2870 19183 457
68 2095 47560
1468 6901 9997
7469 11330 3263
14520 17246 466
2299 13452 919
576 17711 977
78 7025 5855
29831 32844 104
917 28417 32760
917 1191 37229
3513 27930 238
68 4900 41063
620 11927 28110
6592 10628 129
2191 12113 114
12022 12861 424
951 20340 2389
780 3084 3727
6707 21257 135
620 21022 27434
8397 17475 305
4340 11285 1614
2927 3034 827
68 22567 33164
21474 22279 315
8413 20704 371
663 7322 8881
17181 22361 43
3533 3580 448
212 879 25627
18801 22889 43
651 3140 194
10197 33638 214
13322 23708 186
1113 17227 1297
20724 29296 503
1882 22053 75
8388 27872 340
620 13620 32329
663 8655 9687
917 16243 31432
1395 6714 5373
2297 24805 1013
906 6536 418
9332 19136 929
12213 20836 1435
595 27226 762
552 3505 6108
12085 14847 90
19607 30089 150
15236 27867 491
871 2368 4087
1395 10506 5580
137 28680 1008
6813 26187 328
68 11545 38764
9902 26327 1479
7373 19951 910
620 4162 30822
912 16200 2876
9518 29890 187
663 12687 12077
136 12717 5213
212 3427 26389
577 18724 12454
212 15622 20971
7469 8631 2788
917 20524 40722
934 13431 528
9132 33874 125
13175 13190 230
728 2604 1256
212 22020 26352
207 6741 4348
917 9359 30051
68 29199 32568
78 10488 6277
4774 18933 170
620 9185 29375
557 14292 1543
3994 33369 371
620 23103 30198
620 8318 24950
8705 30269 1627
14407 17074 256
4664 15580 530
13473 21472 837
1806 2161 255
2174 27959 7185
68 3415 37166
402 5669 542
23384 25484 671
22342 28208 49
577 29509 11474
935 5073 2026
1449 3161 20810
917 17030 29825
5470 5542 332
577 12664 13455
1367 12863 5127
437 6894 671
7214 11285 1572
1401 16921 105
21755 23951 304
9828 14949 1280
9901 18124 555
1395 12233 5343
1867 18336 825
207 3452 3156
26418 26438 45
6655 18201 2025
7373 9148 830
1273 17050 9586
432 1629 972
138 5219 293
1807 22484 1484
942 12932 2759
21580 25167 1634
10149 27175 196
78 10999 8391
1537 31123 292
2397 25576 483
10812 15956 184
10690 20787 2292
552 11811 4361
2870 7069 485
917 13634 40150
2364 6117 6218
1807 17799 1643
400 2286 2536
1367 18254 5606
68 919 41919
663 5004 9371
917 2840 27642
11567 13206 233
577 12212 11403
7081 8799 127
1449 9012 18906
2945 5362 215
68 1785 32291
7993 7994 102
512 24461 12885
663 19422 10956
1449 15250 18455
8949 31010 44
2198 6628 161
4753 26935 82
13245 21517 168
380 6275 657
620 11650 32996
1449 2844 19204
5977 31354 1618
7469 7481 2151
2174 17674 7149
917 2093 37879
620 23153 30388
998 3842 429
919 13500 3196
1609 16668 2092
192 620 29011
141 7469 3639
212 20967 24761
917 10820 40243
13327 24381 557
3231 3841 161
18241 21118 107
5110 32537 2506
5628 25452 1513
1808 9864 3101
18368 27741 1960
13726 26125 195
753 2769 73
1016 20968 113
1979 3626 188
419 935 891
68 16090 33731
620 10990 30352
620 6033 28679
917 33730 36067
68 8605 46976
8538 14870 83
917 1351 38814
1731 4154 7253
5628 16377 1277
663 12040 11467
207 7304 2519
3505 17993 2009
8301 15714 347
512 6901 14321
1021 10058 492
6546 27633 4754
20327 20465 1178
2364 7107 5894
656 23373 3148
1731 4512 6616
1395 14010 5509
917 3886 32271
68 33220 41076
